ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER, SALES ,ORDERDATE,DAYS_SINCE_LAST_ORDER,STATUS,PRODUCTLINE,MSRP,SPV,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10322,20,131.20,3," 2,624.00 ",04/09/2023,215,Shipped,Vintage Cars,33.00,98.20,S24_1937,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,Young,Valarie,Small
10314,20,136.59,1," 2,731.80 ",22/08/2023,228,Shipped,Vintage Cars,136.00,0.59,S18_3140,Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark,Ibsen,Palle,Small
10310,20,91.63,6," 1,832.60 ",16/08/2023,234,Shipped,Classic Cars,77.00,14.63,S18_1889,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,Koln,50739,Germany,Pfalzheim,Henriette,Small
10107,20,228.52,1," 4,570.40 ",15/08/2023,235,Shipped,Motorcycles,193.00,35.52,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,White Plains,24067,USA,Frick,Steve,Medium
10107,20,181.67,12," 3,633.40 ",14/08/2023,236,Shipped,Classic Cars,173.00,8.67,S12_3891,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK,Ashworth,Victoria,Medium
10304,20,178.88,14," 3,577.60 ",11/08/2023,239,Shipped,Vintage Cars,168.00,10.88,S18_2795,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,78000,France,Tonini,Daniel,Medium
10288,20,146.84,14," 2,936.80 ",01/07/2023,280,Shipped,Classic Cars,124.00,22.84,S18_1589,Handji Gifts& Co,+65 224 1555,Village Close - 106 Linden Road Sandown,Singapore,69045,Singapore,Victorino,Wendy,Small
10287,20,67.97,11," 1,359.40 ",30/06/2023,281,Shipped,Classic Cars,61.00,6.97,S24_3371,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,Gensve,1203,Switzerland,Holz,Michael,Small
10285,20,49.06,10, 981.20 ,27/06/2023,284,Shipped,Motorcycles,60.00,-10.94,S18_2625,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,51247,USA,Hernandez,Marta,Small
10283,20,94.14,2," 1,882.80 ",20/06/2023,291,Shipped,Ships,90.00,4.14,S700_2047,"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,Lincoln,Elizabeth,Small
10281,20,40.66,2, 813.20 ,19/06/2023,292,Shipped,Classic Cars,35.00,5.66,S24_2840,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,70267,USA,Yu,Kyung,Small
10280,20,28.88,12, 577.60 ,17/06/2023,294,Shipped,Vintage Cars,33.00,-4.12,S24_1937,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,10100,Italy,Accorti,Paolo,Small
10276,20,61.23,2," 1,224.60 ",02/06/2023,309,Shipped,Classic Cars,61.00,0.23,S24_3371,Online Mini Collectables,6175557555,7635 Spinnaker Dr.,Brickhaven,58339,USA,Barajas,Miguel,Small
10271,20,196.43,9," 3,928.60 ",20/05/2023,322,Shipped,Classic Cars,169.00,27.43,S18_3232,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Medium
10266,20,141.24,3," 2,824.80 ",06/05/2023,336,Shipped,Classic Cars,132.00,9.24,S18_2870,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy,Moroni,Maurizio,Small
10264,20,120.53,2," 2,410.60 ",30/04/2023,342,Shipped,Classic Cars,148.00,-27.47,S18_4721,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA,Yoshido,Juri,Small
10264,20,32.59,4, 651.80 ,30/04/2023,342,Shipped,Motorcycles,40.00,-7.41,S32_2206,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,Boston,51003,USA,Yoshido,Juri,Small
10261,20,89.53,9," 1,790.60 ",17/04/2023,355,Shipped,Vintage Cars,87.00,2.53,S18_4522,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,H1J 1C3,Canada,Fresnisre,Jean,Small
10258,20,61.41,2," 1,228.20 ",15/04/2023,357,Shipped,Trucks and Buses,64.00,-2.59,S32_3522,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,106-0032,Japan,Shimamura,Akiko,Small
10252,20,76.39,2," 1,527.80 ",26/03/2023,377,Shipped,Classic Cars,80.00,-3.61,S18_3278,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,75016,France,Perrier,Dominique,Small
10249,20,67.82,1," 1,356.40 ",08/03/2023,395,Shipped,Planes,68.00,-0.18,S24_2841,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,51247,USA,Tseng,Kyung,Small
10107,20,145.52,3," 2,910.40 ",07/03/2023,396,Cancelled,Classic Cars,136.00,9.52,S10_4757,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Small
10244,20,58.22,6," 1,164.40 ",01/03/2023,402,Shipped,Vintage Cars,53.00,5.22,S18_1367,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10239,20,44.56,2, 891.20 ,12/02/2023,419,Shipped,Classic Cars,37.00,7.56,S24_2972,"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,Oulu,90110,Finland,Koskitalo,Pirkko,Small
10107,20,74.21,4," 1,484.20 ",09/02/2023,422,Shipped,Classic Cars,79.00,-4.79,S12_3990,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Small
10237,20,114.95,8," 2,299.00 ",05/02/2023,426,Shipped,Motorcycles,112.00,2.95,S24_1578,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small
10237,20,68.34,3," 1,366.80 ",05/02/2023,426,Shipped,Motorcycles,81.00,-12.66,S50_4713,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small
10223,20,66.04,12," 1,320.80 ",20/12/2022,473,Shipped,Vintage Cars,68.00,-1.96,S32_4289,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,3004,Australia,Ferguson,Peter,Small
10220,20,52.82,6," 1,056.40 ",12/12/2022,481,Shipped,Trains,62.00,-9.18,S32_3207,"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,Small
10214,20,34.19,3, 683.80 ,26/11/2022,497,Shipped,Vintage Cars,33.00,1.19,S24_1937,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,28023,Spain,Sommer,Mart¡n,Small
10212,20,66.99,14," 1,339.80 ",16/11/2022,507,Shipped,Classic Cars,77.00,-10.01,S18_1889,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10107,20,155.72,12," 3,114.40 ",02/11/2022,521,Shipped,Classic Cars,173.00,-17.28,S12_3891,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Medium
10208,20,89.40,2," 1,788.00 ",02/11/2022,521,Shipped,Vintage Cars,88.00,1.40,S24_3151,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,69004,France,Saveley,Mary,Small
10107,20,196.52,8," 3,930.40 ",02/10/2022,552,Shipped,Classic Cars,194.00,2.52,S12_1099,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10107,20,112.74,6," 2,254.80 ",02/10/2022,552,Shipped,Classic Cars,117.00,-4.26,S12_3380,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10204,20,62.47,10," 1,249.40 ",02/10/2022,552,Shipped,Classic Cars,73.00,-10.53,S24_1046,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,10022,USA,Young,Jeff,Small
10193,20,50.62,9," 1,012.40 ",21/09/2022,563,Shipped,Vintage Cars,44.00,6.62,S24_2022,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia,Connery,Sean,Small
10193,20,113.95,4," 2,279.00 ",21/09/2022,563,Shipped,Vintage Cars,97.00,16.95,S24_4258,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia,Connery,Sean,Small
10185,20,48.62,15, 972.40 ,14/09/2022,570,Shipped,Trains,58.00,-9.38,S50_1514,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,50553,USA,Tam,Wing C,Small
10107,20,81.40,15," 1,628.00 ",12/09/2022,572,Shipped,Classic Cars,79.00,2.40,S12_3990,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,N 5804,Norway,Oeztan,Veysel,Small
10182,20,110.60,7," 2,212.00 ",12/09/2022,572,Shipped,Vintage Cars,127.00,-16.40,S18_2325,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10182,20,119.79,13," 2,395.80 ",12/09/2022,572,Shipped,Classic Cars,117.00,2.79,S24_2887,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10176,20,183.38,10," 3,667.60 ",06/09/2022,578,Shipped,Classic Cars,163.00,20.38,S18_2238,L'ordine Souveniers,0522-556555,Strada Provinciale 124,Reggio Emilia,42100,Italy,Moroni,Maurizio,Medium
10170,20,63.14,2," 1,262.80 ",04/09/2022,580,Shipped,Classic Cars,77.00,-13.86,S18_1889,Mini Auto Werke,7675-3555,Kirchgasse 6,Graz,8010,Austria,Mendel,Roland,Small
10107,20,209.15,3," 4,183.00 ",28/08/2022,587,Shipped,Motorcycles,193.00,16.15,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium
10167,20,79.66,11," 1,593.20 ",23/08/2022,592,Cancelled,Vintage Cars,88.00,-8.34,S24_3151,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Small
10161,20,107.23,3," 2,144.60 ",17/08/2022,598,Shipped,Classic Cars,90.00,17.23,S24_2766,Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark,Ibsen,Palle,Small
10161,20,77.05,4," 1,541.00 ",17/08/2022,598,Shipped,Classic Cars,85.00,-7.95,S24_3191,Heintze Collectables,86 21 3555,Smagsloget 45,Aaarhus,8200,Denmark,Ibsen,Palle,Small
10156,20,41.02,1, 820.40 ,08/08/2022,607,Shipped,Vintage Cars,43.00,-1.98,S50_1341,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10155,20,117.67,2," 2,353.40 ",06/08/2022,609,Shipped,Planes,99.00,18.67,S700_2466,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,21240,Finland,Karttunen,Matti,Small
10107,20,245.20,11," 4,904.00 ",28/07/2022,618,Shipped,Classic Cars,207.00,38.20,S12_1108,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10153,20,110.23,3," 2,204.60 ",28/07/2022,618,Shipped,Ships,99.00,11.23,S700_3962,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10107,20,159.56,1," 3,191.20 ",19/07/2022,627,Shipped,Classic Cars,147.00,12.56,S10_4962,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Medium
10150,20,105.20,3," 2,104.00 ",19/07/2022,627,Shipped,Classic Cars,101.00,4.20,S700_2824,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,79903,Singapore,Natividad,Eric,Small
10149,20,90.57,1," 1,811.40 ",12/07/2022,634,Shipped,Vintage Cars,97.00,-6.43,S24_4258,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,94217,USA,Taylor,Sue,Small
10145,20,137.63,13," 2,752.60 ",25/06/2022,651,Shipped,Planes,118.00,19.63,S700_2834,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,90003,USA,Young,Julie,Small
10144,20,81.86,1," 1,637.20 ",13/06/2022,663,Shipped,Vintage Cars,68.00,13.86,S32_4289,Royale Belge,(071) 23 67 2555,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,Cartrain,Pascale,Small
10141,20,54.33,2," 1,086.60 ",01/06/2022,675,Shipped,Classic Cars,57.00,-2.67,S24_1444,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",Espoo,FIN-02271,Finland,Suominen,Kalle,Small
10139,20,71.20,3," 1,424.00 ",16/05/2022,691,Shipped,Vintage Cars,62.00,9.20,S18_2957,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small
10139,20,90.06,2," 1,801.20 ",16/05/2022,691,Shipped,Vintage Cars,104.00,-13.94,S18_3136,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,2067,Australia,Huxley,Adrian,Small
10135,20,35.87,1, 717.40 ,02/05/2022,705,Shipped,Classic Cars,37.00,-1.13,S24_2972,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,97562,USA,Nelson,Valarie,Small
10107,20,135.56,1," 2,711.20 ",01/05/2022,706,Shipped,Motorcycles,150.00,-14.44,S12_2823,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,75508,France,Da Cunha,Daniel,Small
10127,20,60.69,8," 1,213.80 ",03/04/2022,734,Shipped,Classic Cars,57.00,3.69,S24_1444,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,10022,USA,Young,Jeff,Small
10127,20,96.99,7," 1,939.80 ",03/04/2022,734,Shipped,Classic Cars,118.00,-21.01,S24_4048,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,10022,USA,Young,Jeff,Small
10107,20,107.10,7," 2,142.00 ",08/03/2022,760,Shipped,Classic Cars,115.00,-7.90,S12_4675,Marseille Mini Autos,91.24.4555,"12, rue des Bouchers",Marseille,13008,France,Lebihan,Laurence,Small
10119,20,72.98,5," 1,459.60 ",28/02/2022,768,Shipped,Vintage Cars,65.00,7.98,S24_3420,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,5020,Austria,Pipps,Georg,Small
10110,20,35.51,3, 710.20 ,18/01/2022,809,Shipped,Vintage Cars,33.00,2.51,S24_1937,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small
10107,20,92.90,8," 1,858.00 ",24/12/2021,834,Shipped,Motorcycles,99.00,-6.10,S32_1374,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,10022,USA,Yu,Kwai,Small
10423,21,84.82,2," 1,781.22 ",30/03/2024,7,In Process,Vintage Cars,104.00,-19.18,S18_3136,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium,Dewey,Catherine,Small
10423,21,89.29,5," 1,875.09 ",30/03/2024,7,In Process,Vintage Cars,99.00,-9.71,S18_3320,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,B-1180,Belgium,Dewey,Catherine,Small
10107,21,164.18,1," 3,447.78 ",13/03/2024,24,Disputed,Motorcycles,150.00,14.18,S12_2823,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Medium
10415,21,67.82,1," 1,424.22 ",09/03/2024,28,Disputed,Planes,68.00,-0.18,S24_2841,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,Glen Waverly,3150,Australia,Connery,Sean,Small
10412,21,52.60,2," 1,104.60 ",03/03/2024,34,Shipped,Classic Cars,57.00,-4.40,S24_1444,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10401,21,96.11,2," 2,018.31 ",03/02/2024,63,On Hold,Planes,118.00,-21.89,S700_2834,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,94019,USA,Brown,William,Small
10107,21,86.77,7," 1,822.17 ",03/01/2024,94,Shipped,Motorcycles,193.00,-106.23,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,50553,USA,Benitez,Violeta,Small
10386,21,74.77,18," 1,570.17 ",01/01/2024,96,Resolved,Planes,84.00,-9.23,S18_2581,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10383,21,93.91,4," 1,972.11 ",22/12/2023,106,Shipped,Classic Cars,118.00,-24.09,S24_4048,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10380,21,47.18,8, 990.78 ,16/12/2023,112,Shipped,Vintage Cars,168.00,-120.82,S18_2795,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,28034,Spain,Freyre,Diego,Small
10107,21,34.91,12, 733.11 ,03/12/2023,125,Shipped,Motorcycles,95.00,-60.09,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,44000,France,Labrune,Janine,Small
10369,21,94.22,5," 1,978.62 ",20/11/2023,138,Shipped,Vintage Cars,104.00,-9.78,S18_3136,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,58339,USA,Nelson,Allen,Small
