CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,REVIEWS,PRODUCTLINE
"Volvo Model Replicas, Co",0921-12 3555,BerguvsvÂ„gen  8,Lule,S-958 22,Sweden,Berglund,Christina,Medium,I would like to let everyone know I had an incredible experience,Trains
"Clover Collections, Co.",+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland,Cassidy,Dean,Medium,I would not hesitate to do business with them in the future.,Planes
Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,94217,USA,Hirano,Juri,Medium,Satisfied driver,Trucks and Buses
Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,Frick,Michael,Small,So far so good,Trucks and Buses
"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small,I will certainly be back to see you,Trains
"Iberia Gift Imports, Corp.",(95) 555 82 82,"C/ Romero, 33",Sevilla,41101,Spain,Roel,Jose Pedro,Medium,One of the best autos I have ever owned,Trucks and Buses
Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,Kobenhavn,1734,Denmark,Petersen,Jytte,Medium,They keep their promise,Trains
"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,4101,Australia,Calaghan,Tony,Small,I am very pleased with my  purchase,Planes
Cruz & Sons Co.,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,Makati City,1227 MM,Philippines,Cruz,Arnold,Medium,It was a pleasure dealing with Autopro Sales,Planes
Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,S-844 67,Sweden,Larsson,Maria,Medium,I would like to let everyone know I had an incredible experience,Trucks and Buses
"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,London,WX3 6FW,UK,Brown,Ann,Medium,They willingly helped arrange a professional shipper to transport the car,Trucks and Buses
"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,71270,USA,Cervantes,Francisca,Medium,So far so good,Trucks and Buses
